bigram,log_odds_ratio
card delivered,-2.3246
text message,-2.3144
told amazon,-2.3144
bait switch,-2.1682
card text,-2.1382
card amazon,-1.9698
need refund,-1.9698
cancel order,-1.9214
card purchase,-1.8951
amazon told,-1.8951
completely unacceptable,-1.8951
told could,-1.8951
amazon website,-1.8673
get credit,-1.8671
send email,-1.8671
send another,-1.8671
email link,-1.8372
card almost,-1.8371
switch amazon,-1.8371
turn would,-1.8371
text phone,-1.8371
means anything,-1.8371
time music,-1.8371
told wait,-1.8371
done immediately,-1.8371
send gift,-1.8371
via text,-1.8371
else amazon,-1.8371
credit given,-1.8371
false advertising,-1.8371
still showed,-1.8371
purchase time,-1.8371
five minute,-1.8371
even aware,-1.8371
choose option,-1.8371
sent back,-1.8049
defective product,-1.7702
high hopes,-1.7324
called amazon,-1.7324
parental controls,-1.7324
extremely disappointed,-1.7324
card balance,-1.691
received one,-1.691
complete waste,-1.691
buyer beware,-1.6642
buy button,-1.6611
phone number,-1.6523
child purchased,-1.6452
amazon music,-1.6452
stick cam,-1.6331
tried buy,-1.6204
taste mouth,-1.6204
connect wifi,-1.5941
send amazon,-1.5941
doorbell pro,-1.5941
someone stole,-1.5941
box received,-1.5941
amazon never,-1.5941
plastic piece,-1.5941
beware amazon,-1.5661
much desired,-1.5661
given gift,-1.5361
going return,-1.5361
number gift,-1.5361
card redeemed,-1.5361
want money,-1.5361
really even,-1.5361
experience amazon,-1.5361
card turn,-1.5361
talking customer,-1.5361
get also,-1.5361
immediately would,-1.5361
reviews others,-1.5361
information sent,-1.5361
later get,-1.5361
read star,-1.5361
card already,-1.5039
fine print,-1.4692
costumer service,-1.4691
throughout novel,-1.4691
one disappointing,-1.4691
back another,-1.4691
still waiting,-1.4691
called number,-1.4691
sending back,-1.4691
two filters,-1.4691
best seller,-1.4691
amazon customers,-1.4691
received amazon,-1.4691
return item,-1.4691
month cancel,-1.4691
design flaw,-1.4691
acts like,-1.4691
way turn,-1.4691
would return,-1.4691
use cards,-1.4691
web interface,-1.4691
cameras great,-1.4691
called customer,-1.4443
fun time,-1.39
email address,-1.39
wanted pay,-1.39
card would,-1.39
see someone,-1.3899
regular swaddlers,-1.3899
gift amazon,-1.3899
purchased three,-1.3899
time guess,-1.3899
worse one,-1.3899
show good,-1.3899
always always,-1.3899
two devices,-1.3899
disappointed product,-1.3899
weeks one,-1.3899
cant get,-1.3899
far worst,-1.3899
big mistake,-1.3899
micro cards,-1.3899
cannot return,-1.3899
buy get,-1.3899
one sent,-1.3899
original look,-1.3899
double click,-1.3899
even last,-1.3899
put hold,-1.3899
formula changed,-1.3899
tried help,-1.3899
wish read,-1.3899
amazon store,-1.3899
know amazon,-1.3899
never purchase,-1.3899
wasted money,-1.3899
purchased target,-1.3899
ordered gift,-1.3899
another solution,-1.3899
bought game,-1.3899
contacted customer,-1.3677
bed thinking,-1.36
could rate,-1.36
leave much,-1.36
whole experience,-1.36
amazon took,-1.36
sound bar,-1.3442
cheaply made,-1.3442
much rather,-1.3442
would done,-1.3442
like idea,-1.3194
could help,-1.3143
alexa play,-1.2931
also way,-1.2931
money back,-1.2931
two times,-1.2931
pages book,-1.293
instead getting,-1.293
alexa amazon,-1.293
first purchase,-1.293
late return,-1.293
product supposed,-1.293
vice versa,-1.293
almost empty,-1.293
completely stopped,-1.293
buy code,-1.293
wasted much,-1.293
city coast,-1.293
devices get,-1.293
seemed great,-1.293
got amazon,-1.293
basic white,-1.293
given option,-1.293
sad say,-1.293
take responsibility,-1.293
cancel anytime,-1.293
kid would,-1.293
claim code,-1.293
motion detector,-1.293
buy want,-1.293
book came,-1.293
fine water,-1.293
tens thousands,-1.293
immediately return,-1.293
sent two,-1.293
thin cheap,-1.293
nest aware,-1.293
maybe less,-1.293
called support,-1.293
would named,-1.293
app work,-1.293
speak really,-1.293
would stick,-1.293
days one,-1.293
old modem,-1.293
many friends,-1.293
clear product,-1.293
one step,-1.293
absolute worst,-1.293
give dog,-1.293
red flags,-1.293
twist end,-1.293
makes fine,-1.293
jump hoops,-1.293
good housekeeping,-1.293
time anything,-1.293
dog got,-1.293
books already,-1.293
already opened,-1.293
box states,-1.293
poorly made,-1.293
like chemicals,-1.293
reasonable excuse,-1.293
predictable unbelievable,-1.293
dolby digital,-1.293
phone call,-1.293
everyone left,-1.293
really stinks,-1.293
non amazon,-1.293
latest update,-1.293
spent time,-1.293
would destroyed,-1.293
live middle,-1.293
one fact,-1.293
book sometimes,-1.293
amazon almost,-1.293
every book,-1.293
years overall,-1.293
people loved,-1.293
people read,-1.293
scarlet witch,-1.293
else got,-1.293
common problem,-1.293
