,d_spell,f_spell,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,server
d_spell,1.0,-0.4394025354907782,-0.014718386522961669,-0.1772545014776666,-0.2061772661932919,-0.1772545014776666,0.004136078099790931,-0.03372230475978281,-0.0768144216741954,-0.021397585917239264,0.12735125673165687,0.07499589082261299,-0.12520664840704235,0.08379398728926027,-0.18366360407188861,-0.20329353860311203,-0.05091817509685654
f_spell,-0.4394025354907782,1.0,0.10988327711029948,-0.1504866782846261,-0.21650326191770866,-0.1504866782846261,-0.012851742982419374,0.04150946457578714,-0.11399398448820806,-0.047436891938440695,0.13677514867966065,0.019480568745310622,-0.17561694778124307,0.15315261960836257,-0.25239886013362817,-0.2213185591232271,0.1200855334322022
assists,-0.014718386522961669,0.10988327711029948,1.0,-0.16270569722096723,-0.18021678119785103,-0.16270569722096723,0.07697180937348369,0.4175628532342637,-0.23385495420530092,0.04730144266001002,0.5317344271622607,0.059451215116811,-0.1217455457113072,0.6863748656857276,-0.6655608749716271,-0.20944386824567446,0.012752069794847151
damage_objectives,-0.1772545014776666,-0.1504866782846261,-0.16270569722096723,1.0,0.79068885796513,1.0,-0.23325799205889877,0.23527247169114113,0.38415904951799135,0.10733700380572221,-0.2764749494641017,-0.199345658288047,0.7891098411487512,-0.31773700984513303,0.5176982686266565,0.5525594404544826,0.007861038417123547
damage_building,-0.2061772661932919,-0.21650326191770866,-0.18021678119785103,0.79068885796513,1.0,0.79068885796513,-0.23219643952762398,0.19331656152533627,0.37382260416331387,0.17841824465039538,-0.31974623743616737,-0.20171317056080232,0.6856506099007766,-0.3172724680371729,0.5659477603548637,0.5624766039461508,-0.0158815594852012
damage_turrets,-0.1772545014776666,-0.1504866782846261,-0.16270569722096723,1.0,0.79068885796513,1.0,-0.23325799205889877,0.23527247169114113,0.38415904951799135,0.10733700380572221,-0.2764749494641017,-0.199345658288047,0.7891098411487512,-0.31773700984513303,0.5176982686266565,0.5525594404544826,0.007861038417123547
deaths,0.004136078099790931,-0.012851742982419374,0.07697180937348369,-0.23325799205889877,-0.23219643952762398,-0.23325799205889877,1.0,-0.672882967052678,-0.1331231787124589,0.011572140758040647,0.17180870136755844,0.7031255923408942,-0.25174450289101047,0.17689839859640746,-0.11090240965024245,-0.04335287619230321,0.014200223864508319
kda,-0.03372230475978281,0.04150946457578714,0.4175628532342637,0.23527247169114113,0.19331656152533627,0.23527247169114113,-0.672882967052678,1.0,0.31781161863285423,0.06252679324034052,0.09669888534287506,-0.44737220866510824,0.26278909938835504,0.14155601173257834,-0.16569824390335516,0.16683460268593536,0.016149477305835103
kills,-0.0768144216741954,-0.11399398448820806,-0.23385495420530092,0.38415904951799135,0.37382260416331387,0.38415904951799135,-0.1331231787124589,0.31781161863285423,1.0,0.17575834030912724,-0.21787336533509616,-0.0020503561882795588,0.3745333675610823,-0.3039771909229185,0.41552221592062877,0.7615923847744801,-0.018869628750228275
level,-0.021397585917239264,-0.047436891938440695,0.04730144266001002,0.10733700380572221,0.17841824465039538,0.10733700380572221,0.011572140758040647,0.06252679324034052,0.17575834030912724,1.0,-0.012077810794976832,0.14611647006687445,0.1008656961415468,-0.015842047771218795,0.2596553173506664,0.38074577647922997,0.008759509461786368
time_cc,0.12735125673165687,0.13677514867966065,0.5317344271622607,-0.2764749494641017,-0.31974623743616737,-0.2764749494641017,0.17180870136755844,0.09669888534287506,-0.21787336533509616,-0.012077810794976832,1.0,0.265232528473737,-0.233095832598104,0.5232247761687369,-0.5074023372541421,-0.25926717156390977,-0.008424699268223286
damage_taken,0.07499589082261299,0.019480568745310622,0.059451215116811,-0.199345658288047,-0.20171317056080232,-0.199345658288047,0.7031255923408942,-0.44737220866510824,-0.0020503561882795588,0.14611647006687445,0.265232528473737,1.0,-0.20034056102629447,0.17724811623975756,-0.07042387631493033,0.06066162743059235,-0.015357284278586543
turret_kills,-0.12520664840704235,-0.17561694778124307,-0.1217455457113072,0.7891098411487512,0.6856506099007766,0.7891098411487512,-0.25174450289101047,0.26278909938835504,0.3745333675610823,0.1008656961415468,-0.233095832598104,-0.20034056102629447,1.0,-0.2766131338394157,0.4374313557601517,0.5106449960295105,0.016997326790130114
vision_score,0.08379398728926027,0.15315261960836257,0.6863748656857276,-0.31773700984513303,-0.3172724680371729,-0.31773700984513303,0.17689839859640746,0.14155601173257834,-0.3039771909229185,-0.015842047771218795,0.5232247761687369,0.17724811623975756,-0.2766131338394157,1.0,-0.7535312042535177,-0.2732544422883413,-0.006047403957526699
damage_total,-0.18366360407188861,-0.25239886013362817,-0.6655608749716271,0.5176982686266565,0.5659477603548637,0.5176982686266565,-0.11090240965024245,-0.16569824390335516,0.41552221592062877,0.2596553173506664,-0.5074023372541421,-0.07042387631493033,0.4374313557601517,-0.7535312042535177,1.0,0.6489358083934392,0.00413633100864545
gold_earned,-0.20329353860311203,-0.2213185591232271,-0.20944386824567446,0.5525594404544826,0.5624766039461508,0.5525594404544826,-0.04335287619230321,0.16683460268593536,0.7615923847744801,0.38074577647922997,-0.25926717156390977,0.06066162743059235,0.5106449960295105,-0.2732544422883413,0.6489358083934392,1.0,-0.012835587046215676
server,-0.05091817509685654,0.1200855334322022,0.012752069794847151,0.007861038417123547,-0.0158815594852012,0.007861038417123547,0.014200223864508319,0.016149477305835103,-0.018869628750228275,0.008759509461786368,-0.008424699268223286,-0.015357284278586543,0.016997326790130114,-0.006047403957526699,0.00413633100864545,-0.012835587046215676,1.0
