,d_spell,f_spell,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
d_spell,1.0,0.43498692312668363,0.002183063269966747,0.053044861240816914,0.012030119983498684,0.02611285948532073,0.012030119983498684,0.0059680851279212644,0.014195767944169504,0.010745953913607399,0.004976156780727381,0.010229298357927692,0.007451156280940948,0.01777214021584194,0.08297487624161796,0.08399563600780804,0.039087779471567656,0.09642618256051243,0.028735301644697828
f_spell,0.4349869231266838,1.0,0.001969333193557036,0.0596330715455466,0.008966230914208045,0.02032776445283782,0.008966230914208045,0.006157920068253236,0.011118852962890923,0.010642737160946068,0.0026743857799567984,0.014955365224569316,0.006347637500440509,0.017309201960642867,0.10625753251094736,0.12373741369045169,0.04861163849925217,0.12297553644953461,0.03142840834713373
side,0.002183063269966747,0.001969333193557036,1.0,0.00525743958311918,0.005427675889962554,0.0013484278341320815,0.005427675889962554,0.0008024476928720663,0.002137322434479866,0.0011045352778850134,4.930812650991267e-05,0.001148070852530673,0.00017161729693127855,0.0005743118316105452,0.0020627010005979675,0.002887418399816824,0.0012808187063388392,0.0010101543094308571,0.000909536804088321
assists,0.05304486124081691,0.059633071545546604,0.00525743958311918,1.0,0.008341600297083971,0.023525473912231174,0.008341600297083971,0.0042231322976608475,0.07519418397283244,0.03217723967500307,0.0011499299778074243,0.05575676698870306,0.005328491858283968,0.022035528148396447,0.2826498842432089,0.3210475663792205,0.057709005890238974,0.4340726942252992,0.0005050323051038505
damage_objectives,0.012030119983498684,0.008966230914208045,0.005427675889962554,0.008341600297083971,1.0,0.2332944198332292,1.0,0.0116344059719462,0.014419205154145272,0.066496246305174,0.0009272917141883172,0.0072674326547131985,0.010495845869187852,0.24427148108505978,0.023304636971818816,0.04619025875787773,0.06838224970062144,0.03016572580208968,0.0022193233199130466
damage_building,0.02611285948532073,0.02032776445283782,0.0013484278341320815,0.023525473912231174,0.2332944198332292,1.0,0.2332944198332292,0.02879704676166246,0.01841323220851931,0.04966105280765088,0.01446521585800487,0.013655303695770012,0.028627412217310046,0.18560308443405946,0.033704199024333,0.08845874047923342,0.0877427289132692,0.05214399044916535,0.0017592196642535803
damage_turrets,0.012030119983498684,0.008966230914208045,0.005427675889962554,0.008341600297083971,1.0,0.2332944198332292,1.0,0.0116344059719462,0.014419205154145272,0.066496246305174,0.0009272917141883172,0.0072674326547131985,0.010495845869187852,0.24427148108505978,0.023304636971818816,0.04619025875787773,0.06838224970062144,0.03016572580208968,0.0022193233199130466
deaths,0.0059680851279212644,0.006157920068253237,0.0008024476928720663,0.0042231322976608475,0.0116344059719462,0.02879704676166246,0.0116344059719462,1.0,0.2617783643283947,0.018414181520212732,0.0010133254906665395,0.01155122846316463,0.23294244314496007,0.04246964961856298,0.00738856505879483,0.005170325798055024,0.0016474435625143597,0.007732051444904069,0.0029923026388326388
kda,0.014195767944169504,0.01111885296289092,0.002137322434479866,0.07519418397283244,0.01441920515414527,0.01841323220851931,0.01441920515414527,0.2617783643283947,1.0,0.04552333555603075,0.0022510933631660593,0.006397657621975859,0.09046277672726727,0.04640632738080689,0.022167574396776878,0.020902459238193536,0.008816506787648035,0.029486306729384498,0.00473178054680473
kills,0.0107459539136074,0.01064273716094607,0.0011045352778850134,0.03217723967500308,0.066496246305174,0.049661052807650895,0.066496246305174,0.018414181520212732,0.045523335556030754,1.0,0.012706228282022695,0.013917666590187155,0.0058826584659754915,0.0712135619257503,0.04501646558472433,0.04226530461509904,0.2100279104075182,0.049925555537516215,0.001284717651037612
level,0.00497615678072738,0.0026743857799567993,4.930812650991267e-05,0.0011499299778074243,0.0009272917141883172,0.01446521585800487,0.0009272917141883172,0.0010133254906665395,0.0022510933631660593,0.012706228282022695,1.0,0.0004395111836530844,0.013686568513687521,0.0012659409767879542,0.01541501288121689,0.05156680644005143,0.07044145577653856,0.011982133396604084,0.0001002769592464564
time_cc,0.010229298357927692,0.014955365224569318,0.001148070852530673,0.05575676698870306,0.0072674326547131985,0.013655303695770012,0.0072674326547131985,0.01155122846316463,0.006397657621975859,0.013917666590187155,0.0004395111836530844,1.0,0.033520348254233286,0.013267999147159402,0.05928175355758849,0.05489510057009253,0.011283759093456469,0.07677092814416929,0.0025631149784141605
damage_taken,0.007451156280940948,0.006347637500440509,0.00017161729693127855,0.005328491858283968,0.010495845869187852,0.028627412217310046,0.010495845869187852,0.23294244314496004,0.09046277672726727,0.0058826584659754915,0.013686568513687521,0.033520348254233286,1.0,0.02052789600484636,0.0162834251319166,0.007714743136467061,0.0015683373686053983,0.008053104348540277,0.0017385009517329973
turret_kills,0.01777214021584194,0.017309201960642864,0.0005743118316105452,0.022035528148396447,0.24427148108505978,0.18560308443405946,0.24427148108505978,0.04246964961856298,0.04640632738080689,0.0712135619257503,0.0012659409767879542,0.013267999147159402,0.02052789600484636,1.0,0.038603264403757484,0.07432262200896395,0.09488650846401442,0.058000754322728075,0.000546257167832285
vision_score,0.08297487624161798,0.10625753251094736,0.0020627010005979675,0.28264988424320886,0.023304636971818816,0.033704199024333,0.023304636971818816,0.00738856505879483,0.022167574396776888,0.04501646558472433,0.01541501288121689,0.05928175355758848,0.0162834251319166,0.038603264403757484,1.0,0.4767491261358062,0.10074051956476848,0.6463218233202147,0.0012766202184965653
