,d_spell,f_spell,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
d_spell,1.0,0.4322028579467404,0.0028138446623311164,0.02008644013748551,0.02942024515482216,0.09709391670999995,0.02942024515482216,0.009931993351821546,0.013611196429097002,0.030882859396315545,0.0021718319775704564,0.005119963408285966,0.03731300970704595,0.007804647274837141,0.04101806477958972,0.04323841435687939,0.02316889420693408,0.31637265726860786,0.025114055240409442
f_spell,0.43220285794674057,1.0,0.0049660609927970525,0.029976313218991975,0.02865103173229323,0.09708320074095383,0.02865103173229323,0.0037006967276136124,0.01938949136546168,0.03388677875847982,0.003144990841682532,0.0057264277226912715,0.03946754674966627,0.005257956355028748,0.03984180605212713,0.05313503235053689,0.037219144094377946,0.2951589351482705,0.029433273890371134
side,0.0028138446623311164,0.004966060992797052,1.0,0.0012137558816306473,0.0003920129944270984,0.00097118556718931,0.0003920129944270984,0.0017222935297195935,0.0018988827514594586,0.0004806719715089498,9.759461659926197e-05,0.008676299683207218,0.0003463101807984773,0.0043032469466671094,0.0016795874030072241,0.0019551497378458324,0.0011768442382157907,0.0031760833976480535,0.0020622503225074685
assists,0.020086440137485513,0.029976313218991968,0.0012137558816306473,1.0,0.011895911261726035,0.04276378246112021,0.011895911261726035,0.0040375308347136325,0.0452917275671417,0.00408259248837928,0.028643914642545138,0.0030314281340587425,0.016251559748406343,0.007268528873683688,0.031016525117932875,0.0044001090393011935,0.011133673261747482,0.04118940531467382,0.0010849770524917958
damage_objectives,0.029420245154822163,0.02865103173229323,0.0003920129944270984,0.011895911261726035,1.0,0.005081431793947298,1.0,0.015247596848975947,0.016784380742139338,0.008999257487955452,0.004775046059292498,0.002976487329529637,0.0192250147285638,0.2098491914817177,0.01634762551758998,0.011754659202637154,0.01815010310294636,0.08629318643474428,0.005883522043216488
damage_building,0.09709391670999995,0.09708320074095383,0.00097118556718931,0.04276378246112021,0.005081431793947298,1.0,0.005081431793947298,0.05100908069105965,0.0984339051894274,0.06016544743997936,0.006067901275119307,0.003122677977680834,0.010416425408931465,0.055455850611188025,0.020760983515020873,0.11412216522314043,0.06277410444540094,0.2650213033877183,0.0044202180321043245
damage_turrets,0.029420245154822163,0.02865103173229323,0.0003920129944270984,0.011895911261726035,1.0,0.005081431793947298,1.0,0.015247596848975947,0.016784380742139338,0.008999257487955452,0.004775046059292498,0.002976487329529637,0.0192250147285638,0.2098491914817177,0.01634762551758998,0.011754659202637154,0.01815010310294636,0.08629318643474428,0.005883522043216488
deaths,0.009931993351821546,0.0037006967276136124,0.0017222935297195935,0.0040375308347136325,0.015247596848975947,0.05100908069105965,0.015247596848975947,1.0,0.26193006824304327,0.006499951475596908,0.00021914034170475086,0.004405114517039785,0.10350788999550782,0.02802348387892982,0.004280522806311258,0.007663452612232197,0.0025402805260547135,0.000263691913270629,0.0027420302122417545
kda,0.013611196429097002,0.019389491365461684,0.0018988827514594586,0.04529172756714169,0.016784380742139338,0.0984339051894274,0.016784380742139338,0.26193006824304327,1.0,0.06420320596289958,0.0025959670426755617,0.00408040869770297,0.031514830857838044,0.02973866065096863,0.002820694462809194,0.010745071366949405,0.022382351625627645,0.03288460806487662,0.000992527744990489
kills,0.03088285939631554,0.033886778758479806,0.0004806719715089498,0.00408259248837928,0.008999257487955452,0.06016544743997936,0.008999257487955452,0.006499951475596908,0.06420320596289959,1.0,0.013772284875603094,0.0030139358573647206,0.01831401409894926,0.011456616930122699,0.010301648379363489,0.02307307244285915,0.24968716267375465,0.0873613281975823,0.0040664438935736485
level,0.0021718319775704564,0.003144990841682532,9.759461659926197e-05,0.028643914642545138,0.004775046059292498,0.006067901275119307,0.004775046059292498,0.00021914034170475086,0.0025959670426755617,0.013772284875603094,1.0,0.004017251579579347,0.021046575080727024,0.007575838130707192,0.02427020761645316,0.06227999239803688,0.09685404463517494,1.8471947132946612e-05,0.00013431635213037767
time_cc,0.005119963408285966,0.0057264277226912715,0.008676299683207218,0.0030314281340587425,0.002976487329529637,0.003122677977680834,0.002976487329529637,0.004405114517039785,0.00408040869770297,0.0030139358573647206,0.004017251579579347,1.0,0.006555931317701198,0.0034878140705691253,0.005590353678709574,0.0042472013514960145,0.004091230448955447,1.4811834538864857e-06,0.005723565180028241
damage_taken,0.03731300970704596,0.03946754674966627,0.0003463101807984773,0.01625155974840634,0.0192250147285638,0.010416425408931465,0.0192250147285638,0.10350788999550782,0.031514830857838044,0.01831401409894926,0.021046575080727024,0.006555931317701198,1.0,0.015549723031022209,0.02595387107510437,0.03298714000132594,0.03072297838690905,0.08910822050725596,0.008676869834998538
turret_kills,0.007804647274837143,0.005257956355028749,0.0043032469466671094,0.007268528873683688,0.20984919148171774,0.05545585061118804,0.20984919148171774,0.02802348387892982,0.029738660650968626,0.011456616930122699,0.007575838130707192,0.0034878140705691253,0.015549723031022209,1.0,0.003268276386645663,0.004339918739661306,0.033980288131726114,0.0013012377813040373,0.005117132231622123
