d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,server
4.0,7.0,Akshan,Side.blue,0.0,1283.0,1283.0,1283.0,3.0,0.0,0.0,9.0,0.0,5159.0,0.0,4.0,41722,4741,Other,Many,0
4.0,12.0,Syndra,Side.blue,0.0,0.0,167.0,0.0,5.0,0.0,0.0,11.0,10.0,9611.0,0.0,9.0,65896,6286,Other,Many,0
12.0,4.0,Renekton,Side.blue,0.0,0.0,138.0,0.0,3.0,0.0,0.0,9.0,3.0,11040.0,0.0,10.0,34157,4040,TopLane_Jungle,Few,1
7.0,4.0,Jinx,Side.blue,0.0,0.0,1498.0,0.0,3.0,0.0,0.0,11.0,2.0,5889.0,0.0,16.0,80612,6617,Other,Many,1
12.0,4.0,Jax,Side.red,0.0,2794.0,3898.0,2794.0,1.0,0.0,0.0,13.0,6.0,9947.0,1.0,9.0,120316,8152,TopLane_Jungle,Many,1
4.0,12.0,Aatrox,Side.blue,0.0,157.0,157.0,157.0,3.0,0.0,0.0,10.0,4.0,7033.0,0.0,5.0,51692,4650,TopLane_Jungle,Many,1
4.0,7.0,Jhin,Side.blue,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,8.0,7085.0,0.0,8.0,32424,4060,Other,Few,0
4.0,7.0,Jhin,Side.red,0.0,958.0,958.0,958.0,2.0,0.0,0.0,11.0,9.0,8825.0,0.0,16.0,68665,6336,Other,Many,0
12.0,14.0,Camille,Side.blue,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,6.0,11003.0,0.0,7.0,55639,6286,TopLane_Jungle,Many,2
4.0,12.0,Viktor,Side.red,0.0,690.0,690.0,690.0,7.0,0.0,0.0,9.0,8.0,10875.0,0.0,3.0,32126,4273,TopLane_Jungle,Few,1
7.0,4.0,Jhin,Side.blue,0.0,432.0,911.0,432.0,3.0,0.0,0.0,10.0,5.0,4635.0,0.0,8.0,74548,5904,Other,Many,1
4.0,14.0,Rell,Side.blue,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,10.0,8183.0,0.0,26.0,9392,3967,Other,Few,0
4.0,12.0,Jax,Side.blue,0.0,3943.0,3943.0,3943.0,5.0,0.0,0.0,12.0,9.0,14084.0,1.0,13.0,86613,6443,TopLane_Jungle,Many,1
4.0,12.0,Viktor,Side.red,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,10.0,12024.0,0.0,8.0,29608,4093,Other,Few,0
4.0,12.0,Gragas,Side.blue,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,15.0,13000.0,0.0,10.0,59892,5287,TopLane_Jungle,Many,1
12.0,4.0,Akali,Side.blue,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,10335.0,0.0,6.0,47292,4439,Other,Many,0
4.0,12.0,Irelia,Side.red,0.0,0.0,205.0,0.0,4.0,0.0,0.0,13.0,7.0,15242.0,0.0,11.0,77355,7167,TopLane_Jungle,Many,1
