d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
4.0,7.0,Tristana,Side.blue,0.0,3596.0,20513.0,3596.0,2.0,0.0,0.0,13.0,3.0,14599.0,0.0,21.0,156165,9528,Many,0
12.0,4.0,Ziggs,Side.red,1.0,14475.0,15349.0,14475.0,11.0,0.090909091,0.0,14.0,15.0,22169.0,2.0,11.0,163261,10219,Many,2
4.0,12.0,Anivia,Side.red,1.0,655.0,655.0,655.0,10.0,0.2,1.0,13.0,44.0,28252.0,0.0,27.0,106556,8899,Many,0
14.0,4.0,Yone,Side.red,2.0,921.0,921.0,921.0,9.0,0.2222222222222222,0.0,13.0,13.0,22005.0,0.0,15.0,94885,7819,Many,0
3.0,4.0,Leona,Side.red,3.0,0.0,34.0,0.0,13.0,0.2307692307692308,0.0,13.0,26.0,26403.0,0.0,107.0,17296,7215,Few,0
4.0,12.0,Ezreal,Side.blue,0.0,2740.0,3020.0,2740.0,4.0,0.25,1.0,14.0,0.0,13094.0,1.0,13.0,131324,9088,Many,2
12.0,4.0,Orianna,Side.red,1.0,1927.0,3735.0,1927.0,4.0,0.25,0.0,13.0,11.0,12090.0,0.0,20.0,95535,7659,Many,1
14.0,4.0,Yone,Side.red,0.0,343.0,952.0,343.0,7.0,0.2857142857142857,2.0,13.0,4.0,23506.0,0.0,25.0,92825,7895,Many,0
14.0,4.0,AurelionSol,Side.blue,0.0,851.0,2848.0,851.0,7.0,0.2857142857142857,2.0,13.0,11.0,17547.0,0.0,16.0,89926,7897,Many,0
4.0,12.0,Kayle,Side.blue,1.0,1434.0,1884.0,1434.0,10.0,0.3,2.0,13.0,6.0,26685.0,2.0,15.0,105677,9579,Many,2
12.0,4.0,Sylas,Side.red,0.0,3602.0,6079.0,3602.0,13.0,0.3076923076923077,4.0,13.0,27.0,31991.0,1.0,16.0,112217,10595,Many,0
4.0,12.0,Kassadin,Side.red,0.0,950.0,4261.0,950.0,3.0,0.333333333,1.0,14.0,14.0,23152.0,0.0,20.0,120721,8271,Many,2
4.0,3.0,Kaisa,Side.blue,1.0,0.0,3651.0,0.0,9.0,0.3333333333333333,2.0,13.0,3.0,20662.0,0.0,18.0,100535,9154,Many,0
12.0,4.0,Yone,Side.blue,2.0,0.0,1343.0,0.0,8.0,0.375,1.0,14.0,7.0,19094.0,0.0,9.0,117844,8100,Many,1
4.0,12.0,Yone,Side.blue,2.0,687.0,3658.0,687.0,5.0,0.4,0.0,13.0,6.0,13258.0,0.0,17.0,95358,7505,Many,2
12.0,4.0,Orianna,Side.blue,2.0,2182.0,6203.0,2182.0,12.0,0.416666667,3.0,14.0,17.0,22096.0,0.0,9.0,117887,9272,Many,2
12.0,4.0,Jayce,Side.red,1.0,0.0,1632.0,0.0,7.0,0.4285714285714285,2.0,14.0,8.0,21101.0,0.0,32.0,129106,10265,Many,1
