d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
12.0,4.0,Jax,Side.red,0.0,2794.0,3898.0,2794.0,1.0,0.0,0.0,13.0,6.0,9947.0,1.0,9.0,120316,8152,Many,1
4.0,12.0,Irelia,Side.red,0.0,0.0,205.0,0.0,4.0,0.0,0.0,13.0,7.0,15242.0,0.0,11.0,77355,7167,Many,1
12.0,4.0,Irelia,Side.blue,0.0,1536.0,4595.0,1536.0,12.0,0.0833333333333333,1.0,13.0,10.0,27728.0,1.0,10.0,125067,8530,Many,0
4.0,12.0,Trundle,Side.red,0.0,7033.0,7104.0,7033.0,11.0,0.0909090909090909,1.0,13.0,9.0,43166.0,1.0,12.0,99663,8630,Many,1
12.0,4.0,Yasuo,Side.blue,1.0,2050.0,4857.0,2050.0,9.0,0.1111111111111111,0.0,13.0,18.0,18966.0,1.0,9.0,116741,8221,Many,1
4.0,12.0,Riven,Side.blue,1.0,611.0,3596.0,611.0,8.0,0.125,0.0,14.0,19.0,19873.0,0.0,21.0,98687,8164,Many,2
12.0,4.0,Gnar,Side.blue,0.0,755.0,9403.0,755.0,7.0,0.1428571428571428,1.0,13.0,14.0,22655.0,0.0,20.0,65827,7747,Many,0
4.0,12.0,Jax,Side.red,1.0,0.0,7862.0,0.0,6.0,0.166666667,0.0,13.0,10.0,17197.0,0.0,17.0,73891,6632,Many,2
4.0,12.0,Irelia,Side.red,1.0,432.0,3095.0,432.0,9.0,0.222222222,1.0,13.0,9.0,22930.0,1.0,13.0,106801,7525,Many,2
4.0,14.0,Sett,Side.red,3.0,2267.0,4140.0,2267.0,13.0,0.230769231,0.0,13.0,16.0,30354.0,1.0,12.0,94812,7868,Many,2
4.0,14.0,Teemo,Side.red,2.0,0.0,55.0,0.0,8.0,0.25,0.0,13.0,23.0,16786.0,0.0,21.0,84510,7328,Many,0
6.0,4.0,Tryndamere,Side.red,0.0,4680.0,24114.0,4680.0,4.0,0.25,1.0,14.0,6.0,18691.0,2.0,13.0,159259,10808,Many,2
4.0,12.0,Graves,Side.red,1.0,3659.0,4157.0,3659.0,4.0,0.25,0.0,14.0,9.0,19329.0,1.0,21.0,154184,8473,Many,0
12.0,14.0,Akali,Side.red,1.0,3613.0,3613.0,3613.0,8.0,0.25,1.0,14.0,2.0,21223.0,1.0,17.0,86706,7964,Many,2
12.0,4.0,Yone,Side.blue,4.0,946.0,2610.0,946.0,14.0,0.2857142857142857,0.0,14.0,16.0,22022.0,0.0,22.0,126007,8018,Many,1
4.0,12.0,Garen,Side.blue,0.0,3639.0,3639.0,3639.0,7.0,0.285714286,2.0,14.0,39.0,28943.0,1.0,20.0,116370,10511,Many,2
12.0,4.0,Renekton,Side.blue,2.0,1939.0,2443.0,1939.0,6.0,0.333333333,0.0,13.0,10.0,20309.0,1.0,12.0,107780,8158,Many,2
12.0,4.0,Sion,Side.blue,5.0,1976.0,7141.0,1976.0,15.0,0.333333333,0.0,13.0,41.0,36300.0,1.0,18.0,124758,9221,Many,2
12.0,4.0,Yone,Side.red,2.0,290.0,1070.0,290.0,6.0,0.3333333333333333,0.0,13.0,10.0,11969.0,0.0,10.0,100662,7165,Many,1
12.0,14.0,Fiora,Side.red,0.0,7162.0,8282.0,7162.0,6.0,0.3333333333333333,2.0,13.0,11.0,20509.0,3.0,9.0,90381,8439,Many,0
4.0,12.0,Fiora,Side.red,1.0,0.0,1151.0,0.0,3.0,0.3333333333333333,0.0,13.0,1.0,15167.0,0.0,18.0,75157,6779,Many,0
4.0,6.0,Tryndamere,Side.red,0.0,2613.0,4961.0,2613.0,12.0,0.3333333333333333,4.0,14.0,8.0,29005.0,1.0,14.0,134660,11207,Many,0
4.0,12.0,Akali,Side.red,1.0,1771.0,1771.0,1771.0,6.0,0.3333333333333333,1.0,13.0,1.0,20204.0,1.0,13.0,78289,7418,Many,1
4.0,12.0,Fiora,Side.red,4.0,1742.0,1893.0,1742.0,11.0,0.363636364,0.0,13.0,9.0,29576.0,0.0,14.0,85328,8182,Many,2
4.0,12.0,Darius,Side.red,0.0,0.0,247.0,0.0,8.0,0.375,3.0,13.0,17.0,23932.0,0.0,22.0,89428,8313,Many,0
4.0,12.0,Poppy,Side.red,0.0,3583.0,3881.0,3583.0,8.0,0.375,3.0,14.0,23.0,29694.0,1.0,19.0,105261,9395,Many,0
4.0,12.0,Yasuo,Side.blue,1.0,352.0,13786.0,352.0,10.0,0.4,3.0,14.0,10.0,17670.0,0.0,15.0,167048,9789,Many,0
12.0,4.0,Jayce,Side.blue,2.0,3525.0,4791.0,3525.0,10.0,0.4,2.0,13.0,8.0,20122.0,1.0,12.0,120612,8869,Many,0
4.0,12.0,Jayce,Side.blue,3.0,27.0,2259.0,27.0,10.0,0.4,1.0,14.0,9.0,22075.0,0.0,22.0,133188,9576,Many,1
12.0,4.0,Viktor,Side.red,5.0,1144.0,1144.0,1144.0,14.0,0.4285714285714285,1.0,13.0,21.0,31230.0,0.0,14.0,103329,8732,Many,0
4.0,14.0,Teemo,Side.blue,1.0,6523.0,6715.0,6523.0,7.0,0.428571429,2.0,13.0,23.0,18050.0,2.0,17.0,96304,8858,Many,2
